EmployeeID,Name,Department,Job_Embeddedness1,Job_Embeddedness2,Job_Embeddedness3,Job_Embeddedness4,Job_Embeddedness5,Job_Embeddedness6,Job_Embeddedness7,POS1,POS2,POS3,POS4,POS5,POS6,POS7,POS8,POS9,POS10,Burnout_Exhaustion1,Burnout_Exhaustion2,Burnout_Exhaustion3,Burnout_Exhaustion4,Burnout_Disengagement1,Burnout_Disengagement2,Burnout_Disengagement3,Burnout_Disengagement4,Job_Satisfaction1,Job_Satisfaction2,Job_Satisfaction3,Psych_Safety1,Psych_Safety2,Psych_Safety3,Psych_Safety4,Psych_Safety5,Psych_Safety6,Psych_Safety7,UWES_Vigor1,UWES_Vigor2,UWES_Vigor3,UWES_Dedication1,UWES_Dedication2,UWES_Dedication3,UWES_Absorption1,UWES_Absorption2,UWES_Absorption3,Complaints,Improvements_Suggestions
EMP016,Mary King,Operations,4,1,2,2,3,3,3,2,3,2,2,3,3,2,4,2,2,2,2,4,2,3,4,3,3,3,4,3,3,4,3,3,4,3,2,4,3,2,5,3,2,3,3,3,Inadequate resources for projects,Enhance recognition programs for employees
EMP017,Teresa Rodriguez,Finance,1,4,3,2,4,4,4,5,3,3,3,3,3,1,5,3,2,4,3,3,3,3,3,3,3,3,3,1,3,3,3,4,2,5,3,4,3,1,3,4,4,4,4,3,Lack of recognition for contributions,Clarify performance goals and metrics
EMP018,Andrew Kim,Operations,3,4,3,3,4,4,4,3,2,5,4,4,4,4,1,3,3,1,2,3,2,3,3,2,4,4,2,2,3,2,2,1,4,3,3,3,3,4,5,3,3,2,4,4,Inadequate resources for projects,Provide more resources for project completion
EMP019,Christina Cox,Operations,3,3,4,4,2,5,4,3,3,3,1,3,2,3,4,2,3,3,3,3,3,2,4,2,3,1,3,3,4,2,1,2,2,2,3,3,3,1,3,3,4,3,3,3,,Offer more professional development programs
EMP020,Christine Parrish,Marketing,2,2,3,5,4,4,4,2,1,3,3,3,3,4,4,4,3,4,4,1,4,2,3,2,5,3,3,3,4,3,3,3,4,3,4,3,2,3,4,3,1,3,5,4,Limited opportunities for career advancement,Better workload distribution during peak times
EMP021,Travis Cruz,Engineering,4,2,3,2,4,2,2,2,2,1,3,2,3,3,5,4,2,4,3,2,3,4,3,3,2,5,2,3,3,5,3,2,1,3,2,4,3,4,3,3,3,3,3,5,,Provide more resources for project completion
EMP022,Sarah Reese,HR,3,4,1,4,5,4,2,3,3,2,4,4,3,1,1,3,4,3,3,3,1,5,2,2,5,4,3,1,3,4,3,1,4,4,3,1,3,2,2,3,2,2,4,3,,Expand flexible work arrangements
EMP023,Ronnie Wang,Marketing,2,1,3,1,4,2,4,2,2,3,4,5,3,2,3,3,3,4,3,4,2,3,3,3,4,3,3,2,3,3,3,2,4,3,3,4,2,3,1,3,4,2,4,2,Limited opportunities for career advancement,Better workload distribution during peak times
EMP024,Danielle Underwood,HR,1,2,2,3,4,4,3,3,2,2,3,3,3,2,5,3,3,3,3,3,3,2,3,1,3,3,4,2,4,3,3,1,4,3,4,4,3,3,2,3,3,2,3,3,Lack of recognition for contributions,
EMP025,Brian Dillon,HR,2,3,1,3,3,2,4,4,4,4,3,2,4,4,3,4,2,2,1,3,4,4,5,2,5,3,2,5,1,2,4,3,2,2,3,2,3,3,1,3,3,4,3,3,Limited opportunities for career advancement,Implement regular feedback sessions
EMP026,Crystal Landry,Marketing,4,3,3,4,3,4,2,2,3,5,2,4,2,3,4,3,1,3,4,2,4,3,3,3,3,3,3,3,4,2,2,3,3,3,4,5,2,3,4,3,2,2,2,4,High workload during peak periods,
EMP027,Dwayne Jones,Finance,3,3,2,4,2,2,2,2,3,2,3,4,5,3,3,3,4,5,5,1,3,2,3,4,4,4,4,1,1,5,5,3,3,3,4,3,5,2,2,4,3,2,2,3,High workload during peak periods,Expand flexible work arrangements
EMP028,Joshua Brooks,HR,5,3,2,4,3,2,4,4,3,3,2,2,3,2,2,2,3,2,4,2,4,4,5,3,3,3,3,2,2,1,2,4,3,4,3,3,2,3,4,4,3,2,3,4,Inadequate resources for projects,Provide more resources for project completion
EMP029,Robert Fisher,Finance,2,2,4,4,1,3,2,2,3,3,2,1,3,2,3,2,5,3,2,2,4,1,4,4,3,3,3,2,4,1,3,1,5,3,2,2,3,3,4,4,3,1,4,1,Insufficient team collaboration,Clarify performance goals and metrics
EMP030,Jonathan French,Marketing,3,5,3,4,3,3,5,3,1,3,4,1,3,2,4,4,4,4,2,3,3,2,3,3,4,3,2,1,3,3,4,4,2,4,4,2,5,3,3,2,3,3,2,1,Lack of clear communication from management,Improve team meeting frequency and clarity
EMP031,Benjamin Wright,Sales,2,2,4,3,2,4,3,1,3,2,2,3,2,4,3,5,2,3,3,3,4,4,4,4,3,4,4,2,3,2,4,4,2,2,3,4,1,3,2,1,2,4,5,3,Lack of recognition for contributions,Clarify performance goals and metrics
EMP032,Michelle Smith,Sales,3,4,4,4,3,4,3,3,3,1,3,2,4,4,5,4,3,3,3,3,4,1,2,3,2,2,1,4,3,1,3,3,4,3,3,2,5,5,3,2,2,2,4,3,Limited opportunities for career advancement,Enhance recognition programs for employees
EMP033,Ashley Davis,Finance,3,4,3,2,4,2,4,2,2,4,3,2,2,2,2,3,2,4,2,5,4,3,3,2,2,4,3,4,2,3,2,3,3,4,5,5,2,4,3,5,4,3,2,3,Inadequate resources for projects,
EMP034,Billy Yoder,Sales,3,4,3,4,3,3,3,4,4,4,3,2,2,3,3,5,2,3,4,2,1,3,4,4,2,4,1,4,4,3,2,5,3,2,3,4,3,2,3,2,3,3,1,2,,
EMP035,Amber Price,HR,5,3,3,2,5,3,5,2,4,3,2,3,3,3,1,2,5,2,3,2,1,3,2,1,4,3,3,3,3,3,4,4,4,4,4,4,3,5,3,3,3,3,3,4,,
EMP036,David Yang Jr.,Finance,4,5,4,4,3,3,5,2,2,4,4,4,3,3,3,2,1,2,2,3,3,2,3,3,3,2,4,3,3,3,3,2,3,3,3,3,3,3,4,2,3,2,3,3,,Provide more resources for project completion
EMP037,Kara Thomas,Operations,3,2,3,3,4,3,3,3,3,4,2,5,5,4,3,4,4,3,3,1,4,3,2,4,5,3,3,5,4,2,3,4,2,4,2,2,4,5,2,4,3,5,3,2,,Offer more professional development programs
EMP038,Daniel Brown,Engineering,3,4,2,4,2,2,3,3,3,4,2,2,1,3,2,1,3,1,2,3,4,4,3,1,2,3,3,4,3,2,3,3,2,3,2,3,5,2,3,4,5,4,3,5,Lack of recognition for contributions,Enhance recognition programs for employees
EMP039,Ryan Sims,Engineering,1,3,4,3,3,3,4,5,4,5,4,5,4,3,4,2,3,3,2,5,1,2,2,3,2,3,5,2,3,4,1,3,3,3,4,3,3,2,3,2,3,1,3,2,Limited opportunities for career advancement,Offer more professional development programs
EMP040,Claire Phillips,Sales,3,2,2,2,4,2,2,4,1,4,2,1,4,4,2,3,4,3,4,1,4,2,5,3,2,3,4,2,2,3,3,4,1,3,3,3,3,4,2,4,3,2,1,5,Insufficient team collaboration,Implement regular feedback sessions
EMP041,James Hall,Marketing,3,3,2,3,1,1,2,3,2,2,4,2,3,3,3,1,4,5,3,3,3,3,4,3,3,4,3,3,2,4,1,3,3,4,4,2,3,4,4,3,3,4,4,2,,Expand flexible work arrangements
EMP042,Debbie Pearson,Marketing,2,1,3,3,3,2,5,4,3,4,4,4,3,3,4,2,5,3,2,4,3,2,2,2,3,3,4,2,2,2,5,2,2,4,4,3,3,2,3,2,4,3,3,2,Lack of clear communication from management,
EMP043,Melissa Lopez,Engineering,5,2,3,2,4,3,3,3,5,4,4,3,2,4,3,4,4,3,3,4,2,3,3,1,3,3,4,3,1,3,3,4,3,3,1,4,3,2,3,3,4,3,1,3,Insufficient team collaboration,Enhance recognition programs for employees
EMP044,Ricky Miller,Marketing,2,3,1,2,2,5,4,2,3,3,4,3,4,4,3,5,4,2,2,4,3,2,3,3,5,3,3,3,4,4,4,4,4,4,3,4,2,4,2,3,4,3,4,3,Inadequate resources for projects,
EMP045,Clifford Jimenez,Marketing,3,2,4,2,4,2,3,2,3,4,4,4,2,3,2,2,4,5,4,3,5,4,2,3,3,2,4,3,4,5,4,3,4,1,3,5,3,2,3,3,4,2,2,1,Inadequate resources for projects,Clarify performance goals and metrics
EMP046,Jennifer Donovan,Engineering,3,1,2,1,4,3,3,3,3,1,2,2,3,4,3,4,2,1,3,2,5,4,4,1,3,5,3,3,2,2,2,4,5,3,3,2,4,3,4,3,4,5,2,3,High workload during peak periods,Clarify performance goals and metrics
EMP047,Shannon Lutz,Engineering,5,2,2,2,3,3,2,4,2,5,2,3,2,1,2,3,2,2,1,5,3,2,5,5,4,3,2,3,1,3,3,3,4,2,3,3,3,3,2,3,4,1,4,4,High workload during peak periods,Improve team meeting frequency and clarity
EMP048,Travis Murray,Engineering,4,5,3,2,3,4,4,3,3,3,3,4,3,2,2,3,5,5,2,3,3,3,4,4,3,1,2,2,4,4,3,3,3,1,1,4,5,2,3,4,3,2,3,3,Lack of recognition for contributions,
EMP049,Savannah Newton,Engineering,2,2,4,2,4,2,2,5,4,4,3,3,3,2,3,2,3,3,4,4,4,3,4,1,3,4,3,4,3,4,3,3,4,3,3,3,2,3,4,3,3,4,2,1,High workload during peak periods,Expand flexible work arrangements
EMP050,Lisa Rowe,Finance,3,4,3,3,3,3,3,3,3,3,5,4,4,3,4,3,1,4,3,3,1,4,3,3,3,1,5,3,2,5,2,3,2,2,2,3,4,2,4,3,3,2,3,2,Limited work-from-home flexibility,Expand flexible work arrangements
EMP051,Ashley Willis,Sales,4,3,2,4,4,2,3,4,4,3,3,3,3,3,4,2,3,4,2,3,3,3,3,2,5,4,3,1,2,3,4,2,3,3,4,1,2,5,4,3,4,3,3,2,,Expand flexible work arrangements
EMP052,Cathy Wolf,Sales,4,3,4,2,4,4,3,3,2,3,2,2,3,4,4,5,2,1,3,3,4,1,4,3,2,1,2,2,3,4,4,3,2,3,4,2,3,2,3,4,2,3,4,4,Unclear performance expectations,Improve team meeting frequency and clarity
EMP053,Elizabeth Sanders,Finance,1,3,4,3,5,1,2,4,3,3,3,4,3,2,3,2,5,2,3,3,3,4,3,2,5,2,2,3,3,4,5,3,3,4,1,3,2,2,4,3,3,3,4,4,,Provide more resources for project completion
EMP054,Carl Cook,Sales,4,3,4,4,3,2,4,2,3,5,3,3,3,2,3,2,3,5,4,1,2,5,2,3,4,2,3,5,2,3,2,3,2,3,5,5,2,2,2,3,3,2,3,5,Lack of clear communication from management,Provide more resources for project completion
EMP055,Eric Roman,Finance,5,4,4,3,3,2,2,5,4,5,3,3,4,3,5,4,3,2,4,4,4,4,3,2,3,4,3,3,3,2,4,3,3,4,3,3,3,3,2,2,3,2,4,4,,Offer more professional development programs
EMP056,Edward West,Engineering,4,3,5,3,4,2,3,3,5,5,5,3,4,1,3,3,4,4,2,1,4,2,4,3,3,3,2,3,4,3,2,4,3,1,3,3,3,2,4,3,2,1,4,2,,Enhance recognition programs for employees
EMP057,Jeremy Hall,HR,4,4,3,3,5,3,2,2,2,4,2,4,2,2,4,4,2,3,3,2,3,3,2,1,3,3,3,3,3,4,2,4,2,2,3,1,2,3,2,3,4,1,3,2,,Offer more professional development programs
EMP058,Jared Carlson,Marketing,3,1,1,3,3,4,5,3,4,4,1,2,4,3,2,4,2,4,2,5,3,4,4,4,3,1,2,3,2,4,3,4,4,3,2,4,4,2,2,4,4,5,3,2,High workload during peak periods,Clarify performance goals and metrics
EMP059,Charles Smith,Sales,2,3,3,2,2,2,5,5,2,3,3,3,2,4,4,4,3,2,3,3,3,3,3,3,4,5,2,5,1,2,3,1,2,3,4,2,3,2,3,2,5,3,3,3,Limited opportunities for career advancement,Provide more resources for project completion
EMP060,Bryan Savage,Sales,3,1,3,3,3,3,2,5,3,4,3,4,1,4,1,3,4,2,3,3,4,5,4,2,1,2,4,3,2,4,3,2,3,2,3,3,4,2,1,4,3,2,2,2,Limited opportunities for career advancement,Expand flexible work arrangements
EMP061,Deborah Johnson,HR,3,4,3,4,2,3,3,3,2,1,5,4,1,1,5,3,3,3,3,4,4,4,3,1,2,4,2,1,4,5,5,4,3,2,3,5,4,2,3,4,3,2,2,4,Limited opportunities for career advancement,Better workload distribution during peak times
EMP062,Robert Morris,Operations,3,5,5,2,4,2,3,5,3,4,3,3,2,4,4,3,3,3,2,4,2,2,2,2,2,3,3,4,4,3,3,2,4,4,2,4,3,3,3,2,3,2,4,3,Lack of clear communication from management,Offer more professional development programs
EMP063,Megan Buck,Operations,4,5,1,2,4,2,4,4,2,3,4,2,3,4,3,3,3,1,3,3,1,4,4,3,3,3,4,3,3,4,3,1,4,3,3,4,3,5,2,3,1,3,4,4,Limited opportunities for career advancement,Enhance recognition programs for employees
EMP064,Tyler Wilson,Operations,3,4,4,2,4,3,3,2,4,3,2,4,4,3,3,3,3,4,3,5,2,4,3,3,4,2,4,4,3,2,3,4,4,5,2,2,5,3,1,1,4,2,3,3,Unclear performance expectations,Better workload distribution during peak times
EMP065,Julie Oliver,Finance,1,4,3,2,3,3,2,2,3,3,4,3,2,5,3,3,3,4,4,3,4,2,3,4,3,4,3,3,4,4,3,3,3,3,3,4,5,4,2,3,3,3,2,5,Lack of clear communication from management,Clarify performance goals and metrics
EMP066,William Brown,Finance,3,1,3,4,4,3,3,2,3,4,5,4,2,3,4,3,3,3,3,3,2,2,4,3,4,3,2,4,3,3,3,4,3,3,2,2,4,1,2,1,4,4,3,3,Limited work-from-home flexibility,Improve team meeting frequency and clarity
EMP067,Kelly Adams,Engineering,3,3,5,2,3,4,2,4,2,2,4,3,1,2,2,3,2,4,2,4,3,3,5,2,4,3,1,3,4,4,2,4,4,2,2,3,2,2,4,1,2,4,2,4,,Improve team meeting frequency and clarity
EMP068,Natalie Gomez,HR,4,3,3,1,5,4,2,3,3,2,2,4,4,4,2,3,2,1,3,3,2,5,4,3,4,4,3,5,3,4,2,3,3,3,3,3,2,2,3,2,2,3,4,4,Limited work-from-home flexibility,
EMP069,Frank Rivera,Sales,4,1,4,2,4,2,4,5,1,3,2,3,3,3,2,2,1,5,3,2,4,3,1,2,3,2,2,3,3,4,1,3,3,4,3,4,2,3,2,3,2,3,3,3,Insufficient team collaboration,Better workload distribution during peak times
EMP070,Rebecca Mcconnell,Engineering,2,1,3,3,3,3,5,3,3,4,4,3,2,4,3,3,4,3,4,4,3,4,5,3,3,3,2,4,3,2,3,4,4,3,2,3,2,3,2,4,3,3,3,3,Unclear performance expectations,Enhance recognition programs for employees
EMP071,Tiffany Shah,HR,3,3,5,3,3,2,4,5,2,5,1,4,3,3,2,3,2,4,4,3,5,2,4,5,2,5,2,3,3,4,3,5,3,5,4,1,4,4,3,3,3,2,3,5,High workload during peak periods,Implement regular feedback sessions
EMP072,Arthur Miller,Operations,4,4,1,3,3,3,4,2,3,3,2,3,3,1,3,3,2,3,2,4,3,2,3,2,2,2,3,4,2,4,3,3,3,2,4,3,1,3,3,4,4,4,2,2,High workload during peak periods,Implement regular feedback sessions
EMP073,Paul White,Sales,2,3,5,3,4,3,3,4,3,3,4,2,3,5,3,4,3,1,3,3,2,2,3,3,3,3,3,4,5,4,2,3,4,4,5,3,3,2,3,2,3,5,5,4,Limited opportunities for career advancement,Enhance recognition programs for employees
EMP074,Sarah Yates,Engineering,4,3,2,2,3,4,3,2,3,4,3,4,3,3,2,4,4,2,4,3,2,3,3,5,4,4,3,3,3,2,3,2,2,3,3,4,3,3,2,1,3,1,5,5,,Offer more professional development programs
EMP075,William Chavez,HR,2,3,3,3,4,3,3,2,1,4,3,3,3,3,2,4,3,5,4,1,2,3,2,4,4,4,3,3,4,2,2,2,2,2,2,3,1,2,2,4,1,3,3,3,Insufficient team collaboration,Enhance recognition programs for employees
EMP076,Rebecca Shaw,Sales,2,5,4,2,2,3,3,4,5,1,1,5,3,5,3,4,5,2,2,3,1,3,3,5,5,3,3,3,2,3,4,2,2,1,3,4,3,3,3,2,2,5,3,3,Limited opportunities for career advancement,Expand flexible work arrangements
EMP077,Matthew Moore,Sales,3,3,5,4,4,3,3,4,2,4,4,3,5,4,4,4,4,3,3,3,3,3,3,1,3,2,3,4,2,1,3,2,3,3,4,4,2,3,3,3,4,1,4,4,Lack of recognition for contributions,
EMP078,Luis Turner,Engineering,3,3,1,2,4,3,2,5,3,3,3,4,3,3,4,3,2,3,2,3,1,3,4,4,4,4,4,2,4,3,3,3,3,3,3,5,2,2,3,3,4,2,1,4,Limited opportunities for career advancement,Improve team meeting frequency and clarity
EMP079,Jeremy Mclaughlin,Operations,2,3,3,3,3,4,3,2,3,2,5,3,4,3,5,3,3,3,3,4,4,1,3,4,3,3,3,3,4,3,3,2,4,2,1,1,4,1,4,3,3,3,5,3,High workload during peak periods,Enhance recognition programs for employees
EMP080,Brittney Lucas,Operations,3,5,4,2,2,5,3,2,4,3,2,2,4,4,4,2,5,4,3,4,2,3,2,3,2,3,2,3,3,2,3,2,3,5,2,4,5,3,3,2,3,3,3,3,Inadequate resources for projects,
EMP081,Meghan Howell,Finance,3,1,1,2,3,3,1,1,2,4,4,4,4,2,3,1,4,4,4,1,3,3,4,2,3,4,4,2,3,3,2,4,4,3,3,2,3,3,3,2,4,5,3,4,Limited work-from-home flexibility,Improve team meeting frequency and clarity
EMP082,Steven Shields,Operations,2,2,3,4,3,4,3,3,4,3,2,3,4,4,3,3,3,2,5,1,3,3,1,2,3,2,3,3,3,2,5,3,1,2,4,2,4,4,4,4,3,2,2,4,Lack of clear communication from management,Better workload distribution during peak times
EMP083,Michael Murillo,Finance,3,3,3,2,3,2,3,2,3,4,3,2,2,2,3,3,4,3,4,2,5,4,4,3,3,1,2,3,3,3,5,4,1,4,3,2,4,3,5,3,3,3,3,2,High workload during peak periods,Improve team meeting frequency and clarity
EMP084,Tony Hawkins,Operations,4,3,4,3,3,4,3,4,2,4,1,3,2,4,4,4,2,2,2,4,1,2,3,5,3,3,4,3,4,3,1,3,3,2,4,4,3,4,3,5,4,4,4,2,Inadequate resources for projects,Enhance recognition programs for employees
EMP085,Zoe Jensen,HR,3,4,2,3,5,5,1,3,3,4,3,3,3,3,4,3,4,4,3,4,1,3,2,3,4,5,3,4,2,4,2,4,5,1,3,4,2,3,2,3,3,3,2,3,Unclear performance expectations,Expand flexible work arrangements
EMP086,James Jenkins,Finance,5,4,2,4,3,1,3,4,3,5,3,4,1,4,4,3,2,4,4,3,5,5,4,3,3,2,2,3,2,3,3,2,1,3,3,1,3,2,3,4,3,4,5,5,Lack of recognition for contributions,
EMP087,Mitchell Kelley,HR,3,3,4,3,3,3,4,4,5,4,1,3,2,4,2,1,3,4,2,3,5,2,2,4,3,4,1,3,2,3,4,4,3,3,4,1,2,2,3,3,2,3,4,2,Inadequate resources for projects,Implement regular feedback sessions
EMP088,Tammy Schwartz,HR,4,5,2,5,3,4,3,4,3,3,4,3,3,5,3,3,3,5,2,1,3,4,2,2,2,3,4,2,4,4,3,2,2,3,3,2,4,4,2,3,2,3,3,3,,Provide more resources for project completion
EMP089,Betty Park,Marketing,3,3,2,2,2,3,1,3,4,2,2,4,4,4,3,4,4,2,3,3,2,4,4,2,3,2,5,4,2,4,2,5,4,2,5,2,3,4,4,4,1,3,2,3,Limited work-from-home flexibility,Expand flexible work arrangements
EMP090,David Glover,Sales,4,2,2,1,2,3,2,4,1,3,4,3,5,2,2,2,4,3,3,1,3,4,4,3,2,2,3,3,3,3,4,4,3,4,2,4,3,3,5,4,5,2,4,2,Lack of clear communication from management,Expand flexible work arrangements
EMP091,Martha Sharp,Engineering,2,3,4,3,3,3,2,4,2,2,4,3,4,4,1,4,2,4,2,4,4,3,3,4,3,3,2,4,4,4,5,3,3,3,4,2,4,3,3,2,3,4,2,3,Limited work-from-home flexibility,Enhance recognition programs for employees
EMP092,James Smith,Finance,5,3,3,1,2,2,3,4,3,3,3,2,4,3,3,4,3,4,3,2,2,2,4,4,5,3,4,4,1,4,4,5,3,3,4,2,2,2,3,4,2,4,3,3,Lack of clear communication from management,Expand flexible work arrangements
EMP093,Jason Williams,Finance,3,3,2,3,4,3,5,4,3,1,3,3,3,4,2,5,1,4,2,2,2,3,1,3,3,5,2,4,2,2,2,3,4,3,2,3,2,4,3,5,4,3,3,3,Lack of clear communication from management,Offer more professional development programs
EMP094,Hector Santos,Sales,3,3,5,3,3,3,4,4,3,2,1,4,4,2,3,3,4,4,3,3,2,3,3,2,3,3,3,3,2,5,3,3,3,3,2,4,1,4,4,3,3,2,4,3,,
EMP095,Katie Thomas,Engineering,3,2,2,3,4,3,2,4,3,3,4,3,3,4,3,2,3,4,2,3,4,2,3,4,3,3,2,3,3,4,4,5,2,3,5,2,4,3,3,4,4,3,4,4,Insufficient team collaboration,Expand flexible work arrangements
EMP096,Russell Bell,Operations,2,3,3,5,3,2,4,3,3,4,3,2,4,3,4,5,3,4,2,4,4,4,3,2,3,5,2,3,4,4,3,5,3,4,3,4,2,3,2,4,3,3,4,1,Unclear performance expectations,Better workload distribution during peak times
EMP097,Samantha Villanueva,HR,2,3,4,3,3,3,4,4,2,3,3,3,1,4,3,4,3,4,2,1,2,5,1,2,5,2,3,4,2,3,4,4,2,2,3,4,3,2,4,3,3,5,2,3,,Implement regular feedback sessions
EMP098,Brenda Lane,Marketing,2,3,2,2,2,3,4,1,2,2,2,3,3,5,3,3,2,3,1,4,3,2,2,5,3,3,4,3,2,3,2,2,2,4,4,5,4,3,4,2,2,4,2,2,,Improve team meeting frequency and clarity
EMP099,Jeffrey Gonzalez,Operations,5,4,2,2,3,3,4,3,4,3,3,4,2,4,3,2,4,3,2,3,5,3,4,2,4,2,2,4,3,4,3,3,3,4,3,5,3,2,4,4,2,3,2,2,Lack of recognition for contributions,Implement regular feedback sessions
EMP100,Mr. Mark Nelson,Engineering,3,3,2,5,3,3,2,3,3,4,2,3,3,2,2,5,2,2,2,4,4,3,4,5,4,3,5,4,2,3,3,2,3,3,1,2,2,5,5,1,3,4,2,3,Lack of clear communication from management,Better workload distribution during peak times
