EmployeeID,Name,Department,Age,Tenure_Years,Tenure_Months,Recent_Promotion,Employment_Type,Manager,Job_Embeddedness1,Job_Embeddedness2,Job_Embeddedness3,Job_Embeddedness4,Job_Embeddedness5,Job_Embeddedness6,Job_Embeddedness7,POS1,POS2,POS3,POS4,POS5,POS6,POS7,POS8,POS9,POS10,Burnout_Exhaustion1,Burnout_Exhaustion2,Burnout_Exhaustion3,Burnout_Exhaustion4,Burnout_Disengagement1,Burnout_Disengagement2,Burnout_Disengagement3,Burnout_Disengagement4,Job_Satisfaction1,Job_Satisfaction2,Job_Satisfaction3,Psych_Safety1,Psych_Safety2,Psych_Safety3,Psych_Safety4,Psych_Safety5,Psych_Safety6,Psych_Safety7,UWES_Vigor1,UWES_Vigor2,UWES_Vigor3,UWES_Dedication1,UWES_Dedication2,UWES_Dedication3,UWES_Absorption1,UWES_Absorption2,UWES_Absorption3,Complaints,Improvements_Suggestions
EMP022,Kurt Vargas DVM,Sales,48,2,9,No,Part Time,Kevin Anderson,1,4,1,4,3,2,2,2,5,4,2,2,5,2,4,3,3,4,3,3,2,2,4,2,5,1,4,4,5,4,2,2,3,4,3,2,2,4,4,2,2,4,3,5,Unclear performance expectations,
EMP023,Andrew Brown,Sales,34,14,5,Yes,Part Time,Daniel Martinez,5,3,3,3,3,3,4,4,2,1,2,3,5,3,3,3,2,3,3,3,3,2,3,2,3,3,2,4,3,4,3,3,3,3,2,2,4,1,3,3,4,3,2,3,Limited work-from-home flexibility,Enhance recognition programs for employees
EMP024,Patricia Irwin,HR,41,1,8,No,Part Time,Jennifer Smith,1,3,2,4,4,2,4,3,4,4,4,3,4,5,2,2,4,3,4,2,1,2,3,3,3,3,2,2,3,3,3,3,4,4,3,4,3,4,3,3,2,3,4,3,,Provide more resources for project completion
EMP025,Rebecca Clark,Operations,58,3,1,Yes,Part Time,Matthew Lewis,3,4,5,2,2,3,3,2,2,2,4,3,3,1,5,2,2,4,4,1,2,4,1,4,3,2,4,3,3,1,1,1,2,3,2,4,5,3,2,3,4,3,3,3,,Enhance recognition programs for employees
EMP026,Anthony Solomon,Marketing,22,9,9,No,Part Time,Christopher Lee,3,4,4,4,3,4,2,3,5,2,3,3,3,2,3,3,2,2,4,3,4,3,3,2,5,3,3,2,3,2,3,2,2,3,2,5,2,4,2,4,4,3,2,3,Lack of recognition for contributions,Improve team meeting frequency and clarity
EMP027,Laura Grant,Engineering,57,4,8,No,Part Time,David Rodriguez,4,3,3,3,1,4,3,3,3,3,4,5,4,2,4,4,3,3,4,4,3,4,2,4,3,3,3,4,4,4,2,3,3,3,3,3,3,3,5,3,4,3,4,3,Limited work-from-home flexibility,
EMP028,Caleb Oconnell,Operations,63,11,11,No,Part Time,Ashley Hall,3,4,1,2,3,3,3,3,2,1,2,2,3,4,2,4,4,4,2,3,3,2,3,3,2,3,2,3,3,4,3,3,5,3,1,1,2,2,3,4,4,3,3,3,High workload during peak periods,Improve team meeting frequency and clarity
EMP029,Jason Nicholson,Finance,28,3,1,No,Full Time,Steven White,2,3,2,3,3,3,4,1,2,2,3,3,2,4,4,3,3,3,4,3,2,3,5,4,2,2,5,4,4,5,4,4,3,4,3,3,2,3,3,3,4,3,5,3,Lack of recognition for contributions,Provide more resources for project completion
EMP030,Mary Scott,Sales,23,5,1,Yes,Full Time,Kevin Anderson,1,2,2,5,4,4,4,3,3,2,3,3,5,4,4,3,3,2,5,2,2,3,3,4,2,2,3,3,3,3,4,3,4,2,1,4,4,2,5,3,4,4,3,3,Limited work-from-home flexibility,
EMP031,Bryan Navarro,Operations,60,6,3,No,Part Time,Matthew Lewis,3,2,4,3,3,3,3,3,2,3,4,1,2,4,3,3,3,4,3,1,3,5,3,5,4,3,1,3,3,4,4,5,2,3,3,2,4,3,2,5,3,4,4,4,Limited opportunities for career advancement,Improve team meeting frequency and clarity
EMP032,Sierra Garrett,Engineering,23,1,9,No,Part Time,David Rodriguez,3,2,3,2,2,3,2,4,4,2,1,4,3,5,3,4,3,4,2,4,5,5,4,2,3,4,4,3,4,3,3,1,4,2,4,2,4,2,1,3,2,4,3,4,Lack of recognition for contributions,
EMP033,Matthew Serrano,Finance,53,1,5,Yes,Full Time,Rachel Thompson,4,3,2,4,5,1,3,3,2,5,4,3,4,2,2,3,2,3,3,5,3,5,3,2,3,2,4,2,4,4,4,2,3,5,4,2,3,2,3,5,3,2,4,2,Unclear performance expectations,Better workload distribution during peak times
EMP034,Gabriel Carter,Sales,32,5,7,No,Part Time,Jessica Taylor,3,5,3,4,4,2,3,3,2,2,4,4,3,3,4,5,2,2,3,5,4,3,1,4,4,2,4,3,2,3,3,2,4,3,3,4,4,3,1,3,5,3,2,5,Inadequate resources for projects,Offer more professional development programs
EMP035,Cindy Warren,HR,43,10,1,Yes,Full Time,Robert Wilson,4,4,3,3,4,3,2,3,4,4,2,4,2,4,2,4,1,3,4,4,3,2,2,4,3,2,3,3,3,4,3,3,4,2,3,3,2,4,2,3,4,4,4,4,Limited opportunities for career advancement,Implement regular feedback sessions
EMP036,Thomas Smith,Operations,60,6,3,No,Part Time,Ashley Hall,3,2,2,3,3,5,5,1,3,3,2,3,3,2,2,4,4,3,1,3,4,2,2,1,1,1,2,4,5,3,3,5,1,3,2,4,2,2,4,3,3,3,2,3,High workload during peak periods,Enhance recognition programs for employees
EMP037,Janice Smith,Engineering,64,9,2,Yes,Full Time,David Rodriguez,4,3,4,4,4,1,3,3,1,1,5,4,3,2,4,5,2,3,3,2,3,4,1,4,1,4,2,3,4,1,2,3,3,5,4,4,3,4,1,2,3,3,1,2,Limited work-from-home flexibility,Better workload distribution during peak times
EMP038,Daniel Torres,Operations,26,9,9,No,Part Time,Ryan Walker,2,1,5,2,3,3,3,3,3,2,2,3,3,3,3,1,3,2,1,2,4,5,4,4,2,4,3,3,4,5,3,3,3,3,2,2,3,3,3,1,4,1,3,4,Limited opportunities for career advancement,Improve team meeting frequency and clarity
EMP039,Amanda Robles,Sales,29,6,9,No,Full Time,Jessica Taylor,4,3,3,1,4,3,2,2,5,2,4,4,4,3,4,3,2,2,4,3,4,5,3,3,1,4,4,2,3,3,3,4,4,3,3,4,3,3,3,2,4,5,2,5,Limited work-from-home flexibility,Enhance recognition programs for employees
EMP040,Kelly Watson,Sales,46,13,6,Yes,Full Time,Jessica Taylor,1,3,2,4,4,5,4,3,2,3,5,5,2,2,2,3,1,2,3,2,4,3,5,4,3,3,4,4,3,2,3,5,2,3,4,4,2,4,4,1,3,3,2,3,Unclear performance expectations,Clarify performance goals and metrics
EMP041,Anne Garrett,Finance,45,9,9,No,Part Time,Nicole Clark,3,1,3,2,2,4,2,3,1,2,3,4,4,4,2,3,4,3,2,4,3,3,3,1,1,4,2,3,2,4,1,5,3,3,4,1,3,2,2,4,4,4,4,3,Insufficient team collaboration,
EMP042,Dylan Chapman,Operations,24,0,9,Yes,Part Time,Ryan Walker,4,3,3,3,4,4,3,3,3,4,3,2,1,2,2,2,2,3,4,4,3,2,1,4,3,5,1,4,2,2,4,4,3,1,3,2,3,3,3,3,1,3,2,3,Inadequate resources for projects,Enhance recognition programs for employees
EMP043,Kaitlyn Deleon,Sales,31,3,7,Yes,Full Time,Daniel Martinez,1,4,4,4,1,3,4,4,4,3,3,4,4,5,1,1,2,2,4,2,2,1,4,3,2,1,3,4,3,3,4,4,3,2,2,2,4,2,2,2,4,2,3,3,High workload during peak periods,
EMP044,Gail Molina,HR,27,11,0,Yes,Full Time,Jennifer Smith,1,2,3,4,3,3,1,2,4,2,3,4,3,4,3,4,3,3,2,2,5,2,4,5,4,2,4,3,3,4,4,4,3,3,2,2,2,4,3,3,3,2,3,3,Limited opportunities for career advancement,
EMP045,Angela Potter,Engineering,59,9,9,No,Full Time,Sarah Johnson,2,2,4,3,3,3,3,3,3,3,4,3,4,5,2,2,3,3,4,4,3,3,2,4,2,2,4,1,3,3,2,3,4,4,1,4,2,1,3,2,3,5,1,2,Limited work-from-home flexibility,Improve team meeting frequency and clarity
EMP046,Kristen Braun,Finance,25,7,4,No,Part Time,Steven White,3,1,2,3,2,4,4,4,2,2,3,2,3,3,3,4,2,2,2,3,4,2,1,2,2,2,3,4,5,1,3,3,2,4,2,4,4,3,2,3,2,3,2,2,Inadequate resources for projects,Expand flexible work arrangements
EMP047,Gregory Thompson,Finance,53,11,0,No,Full Time,Rachel Thompson,2,3,4,2,3,3,2,5,1,3,2,5,3,4,3,1,4,4,4,2,3,1,2,3,3,3,5,3,2,1,3,4,2,4,2,3,2,3,3,2,1,5,3,3,Unclear performance expectations,Provide more resources for project completion
EMP048,Holly Johnson,Operations,24,10,8,No,Full Time,Ryan Walker,3,3,5,3,2,2,1,4,2,3,1,2,4,2,3,4,3,3,3,4,3,3,1,3,3,4,4,3,4,5,2,4,2,3,3,4,3,1,4,2,4,3,3,4,Lack of recognition for contributions,Better workload distribution during peak times
EMP049,Jimmy Brown,Sales,46,4,2,Yes,Full Time,Kevin Anderson,3,5,3,2,3,5,4,3,3,4,1,2,5,1,4,3,3,3,3,5,3,5,3,5,3,3,4,2,3,4,3,4,3,4,3,3,4,4,2,4,4,3,2,4,High workload during peak periods,Improve team meeting frequency and clarity
EMP050,Alexis Martin,Marketing,47,7,2,Yes,Full Time,Michelle Garcia,2,3,3,2,4,2,3,2,4,2,4,2,4,5,3,2,4,5,3,4,3,3,4,4,4,1,5,3,2,2,4,2,3,4,4,3,3,4,4,5,2,3,1,4,High workload during peak periods,Clarify performance goals and metrics
EMP051,Phillip Cox,Marketing,55,8,4,No,Full Time,Amanda Davis,3,4,3,4,3,3,4,4,3,3,2,5,5,3,3,2,5,4,3,4,3,4,4,4,2,2,4,3,4,2,4,3,5,3,3,2,3,2,3,5,3,3,1,3,Limited opportunities for career advancement,Improve team meeting frequency and clarity
EMP052,Mitchell Arnold,Finance,52,1,0,Yes,Full Time,Rachel Thompson,4,1,2,3,4,1,3,1,3,4,2,4,4,3,4,3,4,4,3,4,1,5,3,2,3,2,4,3,5,3,4,3,4,3,4,3,3,1,1,1,3,3,3,4,Lack of clear communication from management,
EMP053,Arthur Barber,Operations,63,1,8,Yes,Full Time,Ryan Walker,3,3,2,2,2,3,3,4,3,3,3,4,4,5,5,3,2,2,4,2,2,2,1,4,5,3,2,3,3,3,3,2,3,2,2,3,4,3,2,3,3,4,4,4,Unclear performance expectations,Clarify performance goals and metrics
EMP054,Steve Cole,Finance,27,14,11,Yes,Part Time,Rachel Thompson,5,1,3,2,2,2,4,4,4,3,2,3,2,4,2,2,4,2,3,3,3,4,2,3,2,5,1,4,4,2,3,3,2,2,2,4,3,4,3,4,2,4,3,2,Unclear performance expectations,Implement regular feedback sessions
EMP055,Timothy Williams,HR,31,2,2,Yes,Full Time,Lisa Brown,3,2,1,2,3,3,2,2,4,4,3,4,4,3,5,3,2,1,4,3,3,4,3,2,4,3,2,2,5,1,2,3,3,2,3,1,3,5,4,4,2,3,2,2,High workload during peak periods,Clarify performance goals and metrics
EMP056,Darlene Ware,Operations,30,6,11,No,Full Time,Ryan Walker,4,4,4,2,3,3,3,3,3,4,2,1,3,3,4,5,4,3,4,3,5,3,4,3,2,4,3,1,4,2,5,3,2,2,3,3,2,2,3,2,3,3,3,4,High workload during peak periods,Improve team meeting frequency and clarity
EMP057,Stephanie Baird,HR,45,12,2,No,Part Time,Lisa Brown,2,3,3,4,4,3,2,1,2,3,3,3,4,4,4,4,3,3,2,4,4,5,4,2,5,2,1,5,4,5,3,5,2,3,3,4,2,4,5,2,3,2,3,2,,Expand flexible work arrangements
EMP058,Margaret Morris,HR,49,9,8,No,Part Time,Jennifer Smith,2,2,2,4,4,3,2,5,4,3,3,4,1,3,3,3,3,4,3,1,2,1,2,2,4,4,4,4,3,3,4,2,4,2,3,3,1,4,3,3,3,3,2,1,Lack of clear communication from management,
EMP059,Zachary Hudson,Finance,34,4,4,No,Part Time,Rachel Thompson,3,3,2,3,3,1,3,1,3,2,3,3,3,3,3,5,2,2,3,1,5,1,1,4,3,3,3,5,2,4,2,3,5,2,4,2,3,2,2,3,3,1,2,2,Insufficient team collaboration,Provide more resources for project completion
EMP060,Claudia Wright,HR,51,10,10,Yes,Part Time,Jennifer Smith,3,2,3,3,3,5,1,3,3,2,4,5,5,2,2,4,3,3,4,4,3,3,5,2,4,2,2,3,4,2,3,4,3,4,3,5,2,3,5,4,2,1,4,4,Insufficient team collaboration,Enhance recognition programs for employees
EMP061,Daniel Johnson,Sales,44,10,2,Yes,Full Time,Daniel Martinez,4,5,3,2,2,2,2,2,4,5,2,2,4,4,4,3,4,2,2,3,3,1,2,3,1,4,3,2,2,2,2,3,2,4,2,4,4,3,4,3,3,5,4,3,Limited opportunities for career advancement,Enhance recognition programs for employees
EMP062,Shawn Smith,Sales,39,5,9,No,Full Time,Kevin Anderson,3,2,5,3,3,4,4,3,5,4,3,4,3,3,4,4,3,2,3,2,2,3,3,3,2,4,3,3,3,3,5,4,1,3,1,4,3,2,2,4,2,4,3,3,Lack of recognition for contributions,Enhance recognition programs for employees
EMP063,Gloria Edwards,Marketing,47,10,5,No,Full Time,Amanda Davis,2,3,3,4,3,3,4,4,4,2,4,4,4,3,3,4,1,3,4,1,2,4,2,4,4,2,4,3,3,3,3,4,4,3,3,4,4,2,3,4,3,4,4,2,Lack of recognition for contributions,Expand flexible work arrangements
EMP064,Justin Jackson,Finance,41,1,0,No,Full Time,Nicole Clark,3,4,2,1,3,3,3,1,1,3,4,2,3,4,2,4,3,2,2,2,2,2,3,3,1,2,3,3,4,3,3,2,4,3,2,2,3,4,3,1,3,2,3,4,,
EMP065,Katherine Berry,HR,31,5,10,Yes,Part Time,Lisa Brown,3,2,2,3,3,2,3,2,4,3,3,3,3,5,5,2,3,2,3,3,2,4,3,2,3,3,1,4,3,3,4,1,3,4,3,3,3,4,3,2,2,2,3,2,,Clarify performance goals and metrics
EMP066,Whitney Young,Operations,31,13,10,No,Part Time,Ryan Walker,4,3,4,5,4,3,2,1,4,4,3,3,4,5,2,4,4,2,3,4,4,3,3,4,3,2,3,3,1,2,4,4,3,3,3,3,2,4,3,2,3,3,4,3,Lack of clear communication from management,Enhance recognition programs for employees
EMP067,Sherri Reynolds,Marketing,28,2,2,No,Full Time,Amanda Davis,2,4,4,1,4,3,2,4,4,3,3,4,4,4,4,2,3,4,4,3,4,1,4,2,1,5,3,2,2,3,3,2,4,4,2,2,2,3,5,5,4,4,1,3,,
EMP068,Christopher Reeves,Engineering,31,5,2,Yes,Part Time,David Rodriguez,2,3,3,1,3,3,4,3,1,5,5,3,3,3,3,4,3,3,5,5,3,3,2,3,4,3,4,3,2,3,3,2,1,3,5,2,4,5,4,5,2,1,3,4,Insufficient team collaboration,Clarify performance goals and metrics
EMP069,Jamie Bishop,Marketing,26,11,8,No,Full Time,Christopher Lee,3,3,2,1,3,1,4,2,3,5,4,3,4,3,2,3,2,3,2,3,2,3,4,1,4,3,3,2,2,3,3,3,3,3,1,3,4,1,2,4,4,3,3,2,Limited work-from-home flexibility,Implement regular feedback sessions
EMP070,Joseph Cabrera,Marketing,53,3,2,Yes,Part Time,Michelle Garcia,4,3,4,5,2,2,4,2,1,3,1,3,4,1,1,3,4,3,3,5,3,1,2,3,3,4,3,2,3,3,3,3,3,2,2,2,1,2,2,3,3,3,3,2,,Better workload distribution during peak times
EMP071,Jessica Lopez,Finance,52,13,1,Yes,Full Time,Nicole Clark,2,3,1,2,4,3,3,3,2,3,4,2,1,3,4,5,5,3,3,4,3,2,3,2,4,3,2,2,3,3,2,3,5,3,2,5,5,4,3,4,4,3,3,4,Lack of clear communication from management,Implement regular feedback sessions
EMP072,Dana Roberson,Finance,35,12,9,No,Full Time,Rachel Thompson,1,5,2,2,3,3,4,3,2,4,2,3,1,3,4,4,2,3,4,4,4,3,4,2,4,3,3,4,4,3,3,2,3,4,2,4,4,2,2,2,3,2,3,3,,Expand flexible work arrangements
EMP073,Anna Fuller,Operations,58,2,8,No,Part Time,Ashley Hall,3,2,4,1,2,2,3,3,3,3,4,3,2,5,3,4,3,2,2,2,3,3,4,5,3,3,4,1,2,4,4,4,4,3,3,3,4,2,4,2,2,2,3,4,Unclear performance expectations,
EMP074,Joshua Mcmahon,Marketing,35,4,2,No,Part Time,Christopher Lee,3,2,2,4,3,1,3,4,5,4,2,4,3,3,2,2,1,4,3,3,4,3,5,3,2,3,4,4,2,3,2,3,3,3,2,2,2,4,3,5,3,3,3,5,Lack of recognition for contributions,Offer more professional development programs
EMP075,Shari Mays,Marketing,43,11,7,No,Part Time,Christopher Lee,4,4,3,2,4,5,2,4,4,4,3,2,4,4,2,4,2,3,3,2,4,5,3,4,3,4,2,2,4,4,3,3,4,1,1,3,5,3,1,3,3,4,3,5,,Enhance recognition programs for employees
EMP076,Jason Flores,Marketing,55,0,8,No,Full Time,Michelle Garcia,3,2,3,3,1,1,4,4,3,3,1,3,5,3,2,4,2,4,4,1,4,1,2,1,2,1,3,2,5,3,3,3,4,2,4,4,2,1,3,1,4,4,4,1,,Better workload distribution during peak times
EMP077,Monique Stanley,Sales,47,12,10,Yes,Full Time,Kevin Anderson,2,2,2,3,2,3,3,4,4,5,3,3,3,4,4,4,3,4,4,4,2,3,4,2,2,4,2,3,3,2,4,2,3,4,2,2,4,2,2,2,4,4,4,3,Limited opportunities for career advancement,
EMP078,John Frank,Sales,59,14,8,No,Full Time,Daniel Martinez,2,3,3,3,4,3,3,3,3,3,4,1,3,1,4,5,5,3,4,2,2,3,4,3,2,4,3,5,1,3,3,3,4,3,2,4,3,4,3,2,4,2,3,3,Lack of clear communication from management,Better workload distribution during peak times
EMP079,Cameron George,Finance,41,3,10,No,Part Time,Rachel Thompson,2,4,5,3,5,1,2,2,4,3,2,2,4,2,2,2,3,2,4,2,2,5,4,3,1,4,2,2,4,2,2,3,3,2,2,5,2,2,3,3,3,2,1,5,Unclear performance expectations,Provide more resources for project completion
EMP080,Tracy Rivera,Engineering,32,3,6,Yes,Full Time,Michael Chen,3,2,5,4,2,2,3,3,2,3,4,3,3,5,2,3,2,3,1,2,4,2,4,2,3,2,1,4,4,4,3,3,4,3,4,3,4,4,3,3,3,3,2,4,Lack of recognition for contributions,Expand flexible work arrangements
EMP081,Melissa Camacho,Marketing,62,9,2,Yes,Part Time,Michelle Garcia,2,2,2,3,4,3,3,2,3,2,4,2,3,4,4,3,3,2,4,4,3,3,3,3,2,3,2,2,2,2,2,4,2,4,3,4,3,5,3,4,4,2,3,2,Lack of clear communication from management,Provide more resources for project completion
EMP082,Johnny Haynes,Sales,27,14,4,No,Full Time,Jessica Taylor,3,2,4,4,5,2,4,3,2,3,4,2,4,4,3,1,2,4,3,4,3,2,3,4,3,4,2,3,2,4,2,4,3,4,3,2,5,4,3,3,2,2,5,4,Lack of clear communication from management,Provide more resources for project completion
EMP083,Michael Jennings,Engineering,37,2,10,Yes,Full Time,Sarah Johnson,4,3,4,2,4,3,4,4,4,4,2,4,2,3,3,2,2,5,2,3,5,4,4,1,5,3,2,2,3,3,3,2,3,3,5,2,5,1,2,3,4,3,3,3,Unclear performance expectations,
EMP084,Alexis Booker,Sales,25,3,1,No,Full Time,Kevin Anderson,4,3,4,2,3,4,4,2,1,3,3,4,4,2,3,3,3,1,5,1,1,2,3,3,4,4,3,2,5,3,2,3,2,3,3,3,5,2,4,3,4,5,4,3,,Better workload distribution during peak times
EMP085,Ronald Solomon,HR,46,11,4,No,Part Time,Jennifer Smith,4,4,2,3,2,1,3,3,4,2,2,4,3,4,2,4,3,4,3,4,3,2,5,3,3,2,2,3,2,4,1,2,2,3,4,2,4,1,3,4,5,2,3,3,Limited opportunities for career advancement,Offer more professional development programs
EMP086,Elizabeth Cole,Finance,57,13,2,No,Part Time,Nicole Clark,3,2,1,3,3,4,2,2,3,3,3,5,3,3,3,4,3,4,3,3,4,3,2,3,1,3,3,2,1,3,2,3,4,3,1,3,2,4,4,3,2,4,1,4,Insufficient team collaboration,Better workload distribution during peak times
EMP087,Paul Clark,Marketing,61,1,8,No,Full Time,Michelle Garcia,3,3,4,2,2,2,4,2,4,3,3,3,2,4,3,3,3,3,2,1,3,2,3,5,3,5,3,3,4,3,2,1,3,2,2,3,3,2,3,3,3,3,4,2,Lack of recognition for contributions,
EMP088,Susan Cox,HR,59,3,4,Yes,Full Time,Jennifer Smith,1,3,2,5,4,4,2,2,3,4,3,2,3,3,2,3,3,2,3,2,3,4,2,4,3,3,4,2,5,3,4,5,3,4,3,3,4,2,2,2,2,3,5,4,Insufficient team collaboration,Better workload distribution during peak times
